City,Funding,Housing Supply,Resident Stability,Policy Implementation,Transparency/Data Access,Overall Score
New York City,95.0,85.0,75.0,90.0,85.0,86.0
Los Angeles,85.0,80.0,70.0,75.0,80.0,78.0
Chicago,45.0,57.02614379084967,65.18474016221087,79.8599533177726,100.0,58.26547464370911
Houston,40.0,54.90196078431373,100.0,74.55818606202067,87.9217100180273,62.4292984102853
Phoenix,35.0,52.51633986928105,57.34454791228597,72.99099699899966,62.34869945918105,50.43106389549549
San Antonio,50.0,79.11764705882352,58.33583658756384,58.01933977992664,74.4527427246974,55.495721310673716
San Diego,45.0,79.50980392156862,60.49864824271553,85.12837612537514,88.72006180788051,62.87486203479834
Dallas,70.0,83.10457516339869,77.8912586362271,82.1940646882294,99.92274014936903,77.785482470677884
San Jose,60.0,85.718954248366,98.85851607089215,91.16372124041348,78.0839557043523,72.24258159478785
Austin,40.0,60.55555555555555,64.85431060378492,97.33244414804936,76.46149884110226,60.22238972336598
Jacksonville,35.0,59.64052287581699,61.970561730249315,85.46182060686895,67.85990213752254,56.18259740013016
Fort Worth,45.0,56.04575163398692,69.2099729648543,98.6328776258753,73.55137780066958,59.93514580670961
Columbus,40.0,43.49673202614379,96.93601682186842,100.0,76.89930466134433,62.95131683704407
Charlotte,50.0,72.61437908496731,53.82997897266447,90.86362120706902,81.40612928148339,60.23292773533687
San Francisco,55.0,67.2875816993464,79.78371883448483,97.09903301100368,76.92505794488798,64.89095158842311
Seattle,50.0,100.0,72.60438570141184,94.36478826275426,76.64177182590781,71.058011975424
Denver,40.0,59.705882352941174,66.02583358365875,90.39679893297766,79.75791913468967,59.18678900503154
Washington D.C.,45.0,60.16339869281045,68.87954340642835,93.0976992330777,89.10636106103529,61.346934307207356
Detroit,50.0,68.62745098039215,76.23911084409733,78.25941980660221,99.61370074684523,63.017938949922474
New Orleans,45.0,59.869281045751634,70.11114448783418,83.89463154384795,58.665979912438836,56.63507345901822
Boston,30.0,12.15686274509804,12.826674677080202,39.51317105701901,30.697913984032965,21.57697623149765
Philadelphia,35.0,20.163398692810457,24.421748272754584,57.519173057685904,28.637651300540817,29.292799069344795
Miami,25.0,18.071895424836597,3.724842294983479,26.575525175058356,54.41668812773629,21.019716162991145
Atlanta,60.0,28.49673202614379,21.35776509462301,51.78392797599199,57.09502961627608,32.46202458228656

